revenue_feed_id,attribute_number,source_class_id,source_id,exclude_from_feed_boo,revenue_feed_src_attr_id,extraction_timestamp,date,history_date
-5,1,13,NULL,F,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-5,1,14,NULL,F,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-5,2,13,NULL,F,292,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-5,2,15,NULL,F,292,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-5,4,1,NULL,F,3,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,2,10,NULL,F,455,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,2,27,NULL,F,292,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,3,27,NULL,F,292,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,5,6,NULL,F,64,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,5,15,NULL,F,292,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,5,26,NULL,F,292,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,5,27,NULL,F,292,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,6,10,NULL,F,72,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,6,11,NULL,F,72,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,7,7,NULL,F,46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,7,9,NULL,F,46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,7,11,NULL,F,46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,7,15,NULL,F,84,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,7,27,NULL,F,108,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,12,7,NULL,F,55,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,12,27,NULL,F,292,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
