bill_style_id,bill_style_value,created_when,first_time_in_applet,modified_when,rating_only,extraction_timestamp,date,history_date
9147921419813944145,Periodic Electronic Bill,2017-06-01 06:38:10,1,2019-02-19 10:02:52,No,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9147921419813944146,Credit Note,2017-06-01 06:38:10,1,2019-02-19 10:02:52,No,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9147248404813881909,Periodic Paper Bill,2017-03-15 09:07:50,1,2019-02-19 10:02:52,No,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
