cust_relation_id,related_cust_id,extraction_timestamp,date,history_date
9158144220813273785,9158144213213273584,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144229713273785,9158143986213256083,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
