warehouse_id,warehouse_name,is_central_warehouse,is_moving_store,warehouse_state,warehouse_type_id,warehouse_type_value,extraction_timestamp,date,history_date
9147480535213897386,Mail Fulfillment,NULL,NULL,Active,9141616011513337296,Store Warehouse,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9153364976013230213,Temporary Warehouse,NULL,NULL,Active,9141616011513337283,Physical Warehouse,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9154765100913385974,Pre-Activated SIM cards,NULL,NULL,Active,9141616011513337283,Physical Warehouse,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9154800278013547325,Warehouse with standard SIM cards,NULL,NULL,Active,9141616011513337296,Store Warehouse,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9146582463313593578,Customer Location,NULL,NULL,Active,9142324736113760997,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9154463080213301612,CATV Warehouse,NULL,NULL,Active,9141616011513337283,Physical Warehouse,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
