range_name,range_id,parent_range_id,first_number,last_number,own_first_number,own_last_number,range_status_id,range_status_value,extraction_timestamp,date,history_date
754 110 000 - 9 999,9156806935813867300,9156806934813867300,75411,75411,1,1,5051946053013506923,Free,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
786 040 000 - 9 999,9158144471413279153,9158144470413279153,78604,78604,4,4,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
