account_num,customer_ref,payment_method_id,extraction_timestamp,date,history_date
TRL AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
USD AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
USD MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
YTL MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163932,1000163972,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163949,1000164012,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163951,1000164019,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163968,1000164027,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163972,1000164031,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164068,1000164148,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CAD INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CAD MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CHF INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CNY BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
EUR BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
EUR INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
GBP MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SEK AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SKK BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SKK MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
TRL BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
TRL INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
USD MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163928,1000163968,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163930,1000163971,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163931,1000163970,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163969,1000164028,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163988,1000164048,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163989,1000164049,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164009,1000164070,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164011,1000164088,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164013,1000164090,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164017,1000164095,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AUD BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BRL BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BRL INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CHF BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CNY MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
DKK AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
EUR AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
EUR MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
GBP AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NOK MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SDR BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SDR MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SEK AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SEK MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SKK AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
TRL MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
USD INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
YTL AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
YTL INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163933,1000163974,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163971,1000164030,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163991,1000164051,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164012,1000164089,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164014,1000164091,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164029,1000164109,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BRL MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BRL MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CHF AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CNY AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CNY INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
EUR AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
EUR MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
GBP AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NOK AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NOK BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NOK MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SDR MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SEK MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SKK INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
YTL AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
YTL BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
