billing_specification_id,billing_specification_value
9156935945165524202,Mobile Line Postpaid
9156599279465679882,Social Networks
9156599279465679875,Roaming
9156599279465679870,Mobile Prepaid
9156599279465679871,Additional Bucket
9156599279465679872,Calling Feature
9156935945165524201,Mobile Postpaid
9156599279465679885,Mobile Line
