priority_id,priority_name,attr_type_def_id
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
9134256020013155838,Low,9134256020013155837
9134256020013155839,Normal,9134256020013155837
9134256020013155840,High,9134256020013155837
