ticket_type_id,ticket_type_value,abbreviation,category_code,internal_ticket_code,extraction_timestamp,date,history_date
9156261702813830366,Other,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261750613830426,Invoice,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261752813830426,Bad Customer Service,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261918013830640,Delivery,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262114713830620,Other,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262118413830620,Equipment,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9130636234913928175,No Dial Tone,NDT,NULL,1001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9130636234913928177,Slow Dial Tone,SDT,NULL,1002,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9130636234913928178,Cannot Call Out,CCO,NULL,2001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9130636234913928189,Dial Tone After Dialing,DAD,NULL,2004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9130636234913928211,Wiring Problem,WRG,NULL,14014,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250088,Circuit Dead,CKD,NULL,1003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250093,Cannot Call Out2,CCO,NULL,2008,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250103,Cannot Be Called,CBC,NULL,3001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250106,Cannot Trip Ring,CTR,NULL,3004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250110,Cannot Raise A Station,CDS,NULL,3008,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250117,Bell Does Not Ring2,BDR,NULL,3015,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250119,Bell Rings After Answer,RAA,NULL,3017,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250122,Receives Calls For Wrong Number,CWN,NULL,3020,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250124,Rings Then Goes Busy,RGB,NULL,3022,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250128,Fading,FAD,NULL,4003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250129,Distant,DIS,NULL,4004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250133,Open,OPX,NULL,6001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250135,Grounded,GRD,NULL,6003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250146,Low SF,LSF,NULL,6014,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250151,No Ring Generator,NRG,NULL,6018,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250154,Hollow,HOL,NULL,6021,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250156,Circuit Down,DWN,NULL,6023,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250160,Loss EPS CS or Switched Services,LSS,NULL,6027,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250165,Trunk Blocked Farend,BKL,NULL,6032,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250166,Bad Balance,OTH,NULL,6033,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250183,Level Troubles Group,LOW,NULL,9000,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250192,Does Not Pass Freq Response,FRQ,NULL,9009,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250193,Levels Out Of Limits,QLS,NULL,9010,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250198,Frame Errors HiCap,FRE,NULL,10004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250202,No Loopback,NLB,NULL,10008,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250203,Cannot Loopback DEMARC,CLD,NULL,10009,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250215,Degradation Of T1.5,DT1,NULL,10021,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250231,Call Forwarding No Answer Not Working,MEM,NULL,11017,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250232,Hunting Not Working,MEM,NULL,11018,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250233,Selective Call Forwarding Not Working,MEM,NULL,11019,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250236,Caller ID Block Not Working PerCall,MEM,NULL,11022,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250237,Cannot Remove Blocking On A SingleLine,MEM,NULL,11023,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250248,Harmonic Distortion,HAR,NULL,12009,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250260,Cannot Run To OSU,CRO,NULL,12021,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250268,Other Data Describe Additional Info,OTH,NULL,12029,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250275,Other Equipment,OTH,NULL,13004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250280,TTY Set,TTY,NULL,14003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250283,ALI,ALI,NULL,14006,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250284,Cannot Activate PC,CAP,NULL,14007,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250287,offHook,OHK,NULL,14011,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250294,Call Waiting Problem,CWT,NULL,15002,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250302,Release Facility Requested By EC,RFE,NULL,15010,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250305,Request Dispatch,RQD,NULL,15013,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250313,digitalTestLine,TL8,NULL,15021,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250326,signalingNetworkFailureIncoming,OTH,NULL,17009,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261356713830160,Other,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261730913830316,Noise problems,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261757313830426,Charge,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9130636234913928190,Call Transfer Problem,MEM,NULL,11002,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250087,No Dial Tone Group,NDT,NULL,1000,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250090,High And Dry,HAD,NULL,2005,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250095,Cannot Call Overseas,CCL,NULL,2010,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250097,Cannot Call 911,CCO,NULL,2012,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250099,Cannot Call 800/888,CCO,NULL,2014,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250100,Cannot Call 900,CCO,NULL,2015,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250104,Cannot Be Called Busy,CBC,NULL,3002,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250120,No Ring No Answer,NRA,NULL,3018,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250121,Other Ring Trouble,RNG,NULL,3019,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250126,Cannot Be Heard,CBH,NULL,4001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250131,Wrong Number,WNR,NULL,5001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250137,Cannot Signal,CNS,NULL,6005,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250138,Permanent Signal,PRS,NULL,6006,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250144,No Wink Start,NWS,NULL,6012,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250150,Open To DEMARC,OPD,NULL,6017,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250153,Echo,ECO,NULL,6020,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250158,No Signal,NOS,NULL,6025,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250171,Noise Problem Group,NSY,NULL,8000,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250175,Clipping,CLP,NULL,8004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250195,Hi Capacity Down,HCD,NULL,10001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250197,BiPolar Violations,BPV,NULL,10003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250200,Loss Of Sync,SYN,NULL,10006,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250213,Software Group Alarm,RPF,NULL,10019,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250218,pICTrouble,OTH,NULL,11001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250225,Call Return Block Not Working,MEM,NULL,11011,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250226,Caller Identification Not Working,MEM,NULL,11012,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250242,Cannot Transmit Cannot Receive,NTR,NULL,12003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250243,No Receive,NRC,NULL,12004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250244,No Response,NRS,NULL,12005,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250246,Impulse Noise,IMP,NULL,12007,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250249,High Distortion,HID,NULL,12010,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250254,Drop Outs,DRP,NULL,12015,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250255,Hits,HIT,NULL,12016,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250256,No Answer Back,NAB,NULL,12017,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250265,Invalid Data,INV,NULL,12026,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250269,Getting All Ones,GAO,NULL,12030,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250276,Station Wiring,WRG,NULL,13005,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250289,No Register,REG,NULL,14016,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250292,Other Case Group,CTP,NULL,15000,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250296,Information,INF,NULL,15004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250297,Three Way Calling Problem,TWC,NULL,15005,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250301,Release Facility Requested By IC,RFI,NULL,15009,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250303,Request For Routine,RFR,NULL,15011,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250308,Lost Timer Report,LTR,NULL,15016,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250310,Switch Or Trunk Related,SWT,NULL,15018,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250314,ManualIntervertionRequested,OTH,NULL,15022,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250315,recovery,OTH,NULL,16000,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250320,extraPulse,OTH,NULL,17003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250321,falseKeyPulse,OTH,NULL,17004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250327,stationGroupDesignationDigitFailure,OTH,NULL,17010,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250331,cannotDepositCoin,OTH,NULL,18003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573613250334,payPhoneDamage,OTH,NULL,18006,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261770113830579,Make Call Problem,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261914013830640,Long wait time,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250089,Cannot Call Out Group,CCO,NULL,2000,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250098,Cannot Call 700,CCO,NULL,2013,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250105,Do Not Get Called,DBC,NULL,3003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250109,Reach Recording,RRC,NULL,3007,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250111,Cannot Raise A Drop,CNR,NULL,3009,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250112,Cannot Raise A Circuit Location,CRL,NULL,3010,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250113,Ring No Answer,RNA,NULL,3011,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250114,Reorder,ROR,NULL,3012,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250118,Bell Rings Can Not Answer,RCA,NULL,3016,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250123,Recording On Line,ROL,NULL,3021,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250136,Cannot Be Signalled,CBS,NULL,6004,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917480113250143,Hung Up,HUP,NULL,6011,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250152,Bad ERL,ERL,NULL,6019,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250159,Seizure On Circuit,SZR,NULL,6026,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250161,Monitor Circuit,MON,NULL,6028,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250163,Open EPS CS or Swithed Services,OSS,NULL,6030,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250164,Other Voice Describe Additonal Info,OTH,NULL,6031,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250169,Cut Offs Group,CTO,NULL,7000,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250172,Intermittent Noise,INT,NULL,8001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250173,Noisy,NSY,NULL,8002,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250174,Foreign Tone,FOR,NULL,8003,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250179,Hears Other On Line,OOL,NULL,8008,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250181,Clicking,CLK,NULL,8010,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250184,Low Levels,LOW,NULL,9001,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250188,High End Roll Off,HER,NULL,9005,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250191,Line Loss,LOS,NULL,9008,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250194,Miscellaneous Trouble Group,OTH,NULL,10000,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250206,Outwats Ringing In,OWR,NULL,10012,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9135917573413250207,Remote Access,RAC,NULL,10013,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
