contact_method_id,contact_type_method_id,is_preferred_flag,contact_hours,method_end_date,extraction_timestamp,date,history_date
9158144176013272630,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144186913272895,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144194713273072,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144207013273367,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144224813273626,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144246513274156,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144275113275458,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144280013275550,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144523213280583,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144524213280583,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144560813281158,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144561813281158,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144627813283645,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144637213284078,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144647513284397,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144699913285771,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144703113286055,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144708913286394,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9154793098813366511,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158143992313256259,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158143993313256259,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144001113256625,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144006313256645,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144170813272530,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144177713272530,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144178713272530,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144179013272630,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144186213272995,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144187913272895,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144195713273072,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144245513274156,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144281013275550,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144300713276192,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144380713277640,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144381713277640,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144405013278296,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144441613278416,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144490313279883,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144491313279883,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
