cust_relation_id,related_cust_id,relationship_type_id,relationship_type_name,extraction_timestamp,date,history_date
9158144220813273785,9158144213213273584,9137799819213569276,Child Of,2020-11-04 00:00:00,2020-11-04,2020-11-04-00-00-00
9158144229713273785,9158143986213256083,9134610186513206398,Main for,2020-11-04 00:00:00,2020-11-04,2020-11-04-00-00-00
