customer_ref,account_num,subs_id,otc_seq,otc_dtm,bill_dtm,actual_bill_dtm,bill_version,bpi_id,productoffering_id,productoffering_name,tariff_plan_id,tariff_plan_name,customer_category_id,customer_category_value,otc_status_id,otc_status_value,otc_mny,cps_id,cps_name,created_dtm,geneva_user_ora,realtime_charge_boo,revenue_code_id,revenue_code_value,receivable_class_id,receivable_class_name,otc_class_id,otc_class_value,domain_id,otc_label,service_address_seq,product_seq,budget_centre_seq,bill_seq,rev_recognition_class_id,otc_txt,cancelled_txt,originating_bill_seq,originating_bill_version,otc_installment_seq,installment_number,termination_dtm,product_quantity,previous_otc_mny,revenue_start_dat,revenue_end_dat,upre_seq,domain_group_id,actual_mny,otc_tax_mny,disc_id_applied_on_otc_create,precalc_disc_amount_on_otc,discounted_otc_on_creation_boo,alt_currency_code,alt_currency_otc_mny,rtpc_otc_lines_tax_mny,currency_conversion_ref_dat,otc_value,prepaid_installment_boo,extraction_timestamp,date,history_date
1000164113,2000164132,NULL,402,2020-11-05 13:14:06,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-05 13:14:06,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,944578460,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery with Upfront,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164116,2000164135,NULL,404,2020-11-05 13:15:38,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-05 13:15:38,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,340010382,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery with Upfront,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164150,2000164169,NULL,405,2020-11-05 13:26:21,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-05 13:26:21,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,765366881,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery with Upfront,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164431,2000164280,NULL,801,2020-11-09 15:11:45,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-09 15:11:45,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,999175547,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164672,2000164346,NULL,903,2020-11-10 23:39:00,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-10 23:39:00,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,170447953,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164725,2000164402,NULL,905,2020-11-11 15:13:58,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 15:13:58,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,922593056,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164745,2000164420,NULL,908,2020-11-11 15:30:37,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 15:30:37,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,553748422,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164769,2000164444,NULL,909,2020-11-11 16:09:51,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 16:09:51,ECAUSER,F,200000033,200000033,10001,Default,1,One-time Charge.,468319643,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164834,2000164510,NULL,912,2020-11-11 17:25:06,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,10000,10003,Oman,2020-11-11 17:25:06,ECAUSER,F,200000036,200000036,10001,Default,1,One-time Charge.,400984120,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Change SIM Fee Postpaid,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164873,2000164553,NULL,917,2020-11-11 18:13:54,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 18:13:54,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,231124135,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
