status_id,status_value,attr_type_def_id
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
9130013304913215574,Active,9130013280813208664
9130013306913222386,Suspend,9130013280813208664
9130013308813229198,Cancelled,9130013280813208664
9130013315013236011,Inactive,9130013280813208664
