individual_status_id,individual_status_value,attr_type_def_id
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
9135267335913184350,6#9BBB59$Active,9134256756013157423
9135267335913184351,6#FF0000$Inactive,9134256756013157423
