account_num,customer_ref,account_payment_seq,payment_channel_id,csr_id,vodafone_store_code,payment_confirmation_date,payment_extract_date,payment_transaction_id,csr_name,payment_file_name,file_batch_id,so_number,upfront_payment_part_id,invoice_number,payment_source,sales_order,extraction_timestamp,date,history_date
2000164128,1000164128,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159016321213234120,9159016445513234391,NULL,Point of Sale	,9159016321213234120,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164128,1000164128,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159016461513235220,9159016467213235338,NULL,Point of Sale	,9159016461513235220,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164152,1000164171,3,Recurring Payment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Recurring Payment,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164168,1000164175,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159026060113419180,9159026106313419336,NULL,Point of Sale	,9159026060113419180,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164171,1000164178,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159026303313425434,9159026332613425609,NULL,Point of Sale	,9159026303313425434,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164171,1000164178,3,Call Center Desktop,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VFO0000032,Call Center Desktop,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164171,1000164178,6,Recurring Payment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Recurring Payment,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164171,1000164178,7,Recurring Payment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Recurring Payment,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164171,1000164178,8,Recurring Payment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Recurring Payment,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000163954,1000163954,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904163213929172,9158904175013931525,NULL,Point of Sale	,9158904163213929172,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
