group_value,group_id,created_by_value,created_when,email,modified_by_value,modified_when,extraction_timestamp,date,history_date
Customer Relationships - Full Access,9147377069913858309,sysadm,2017-03-30 07:14:02,NULL,sysadm,2017-03-30 07:22:53,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Activity Management - Operate 1,9147377330013858333,sysadm,2017-03-30 07:15:12,NULL,sysadm,2017-10-20 07:07:54,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Interaction Management  - View Summary,9147377330013858342,sysadm,2017-03-30 07:15:34,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Attachment Management - View,9147377330013858350,sysadm,2017-03-30 07:15:57,NULL,sysadm,2017-03-30 07:19:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Info Search,9147377330013858380,sysadm,2017-03-30 07:17:11,NULL,sysadm,2017-03-30 07:22:53,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Address Management - Pre-Configuration,9147377330013858386,sysadm,2017-03-30 07:17:26,NULL,sysadm,2017-03-30 07:19:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CIM,9147377330013858398,sysadm,2017-03-30 07:18:21,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Contracts,9147438414813881729,sysadm,2017-04-06 10:34:58,NULL,sysadm,2017-04-06 10:36:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Contract Templates - Full Access,9147439010013881737,sysadm,2017-04-06 10:35:24,NULL,sysadm,2017-04-06 10:35:24,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Contracts - View,9147439010013881743,sysadm,2017-04-06 10:35:41,NULL,sysadm,2019-05-29 09:13:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Additional Agreements - Full Access,9147439010013881760,sysadm,2017-04-06 10:36:22,NULL,sysadm,2017-04-06 10:36:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Minor Change - View,9147439010013881763,sysadm,2017-04-06 10:36:29,NULL,sysadm,2017-04-06 10:36:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Billing Account - 4,9147550106113889589,sysadm,2017-04-19 07:51:23,NULL,sysadm,2017-04-19 07:51:23,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Lifeline Profile - 3,9147550106113889604,sysadm,2017-04-19 07:51:59,NULL,sysadm,2017-04-19 08:13:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Disputes Management - Full Access,9147550474613889697,sysadm,2017-04-19 08:18:15,NULL,sysadm,2017-04-19 08:18:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Adjustments Management - Full Access,9147550474613889721,sysadm,2017-04-19 08:19:11,NULL,sysadm,2017-04-19 08:19:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CBM Configuration,9147550517913889743,sysadm,2017-04-19 08:20:11,NULL,sysadm,2017-04-25 10:06:13,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Notification User Role I,9147601941713912390,sysadm,2017-04-25 07:53:35,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
PIM,9147609820413933272,sysadm,2017-04-26 05:12:45,NULL,sysadm,2017-04-26 05:42:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Cities/Municipalities - View,9147610250013933365,sysadm,2017-04-26 06:40:25,NULL,sysadm,2017-04-26 06:40:25,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Countries/States - Full Access,9147610250013933374,sysadm,2017-04-26 06:40:46,NULL,sysadm,2017-04-26 06:40:46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
MIN - View,9147610250013933383,sysadm,2017-04-26 06:41:16,NULL,sysadm,2017-04-26 06:41:16,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
MIN - Full Access,9147610250013933386,sysadm,2017-04-26 06:41:28,NULL,sysadm,2017-04-26 06:41:28,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
RI Search,9147610250013933415,sysadm,2017-04-26 06:42:52,NULL,sysadm,2017-04-26 06:42:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Operations menu - Generic Access,9147610490013933450,sysadm,2017-04-26 06:56:56,NULL,sysadm,2017-04-26 06:56:56,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sessions,9147610490013933459,sysadm,2017-04-26 06:57:15,NULL,sysadm,2017-04-26 06:57:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Provider Locations - Full Access,9147878455813951573,sysadm,2017-05-27 07:28:59,NULL,sysadm,2017-05-27 07:28:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Collections Group,9148059792413671891,sysadm,2017-06-17 07:08:51,NULL,sysadm,2017-06-17 07:09:33,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Inventory Group,9148059792413671917,sysadm,2017-06-17 07:11:33,NULL,sysadm,2017-06-17 07:13:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Order Management Group 2,9148059880613671951,sysadm,2017-06-17 07:15:18,NULL,sysadm,2017-06-17 07:15:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Order Management Group 3,9148059880613671964,sysadm,2017-06-17 07:16:09,NULL,sysadm,2017-06-17 07:17:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Local Ausac CCL Report,9148153581813666607,sysadm,2017-06-28 03:36:05,NULL,sysadm,2017-06-28 03:36:06,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Long Distance Usage Report,9148153581813666610,sysadm,2017-06-28 03:36:14,NULL,sysadm,2017-06-28 03:36:14,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Lookback detail/Summary Report,9148153581813666613,sysadm,2017-06-28 03:36:25,NULL,sysadm,2017-06-28 03:36:25,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Payment Report,9148153581813666621,sysadm,2017-06-28 03:36:40,NULL,sysadm,2017-06-28 03:36:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Suspended Services Report,9148153622013666641,sysadm,2017-06-28 03:37:22,NULL,sysadm,2017-06-28 03:37:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Store Warehouse 1,9148206643213654130,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-21 07:07:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Customer Storage Point,9148206643213654139,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Decommissioning,9148206643213654141,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: NCTA,9148207744413654630,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Nokia,9148207744413654631,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Planet Cellular,9148207744413654634,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: ROKU,9148207744413654636,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: WOD,9148207744413654646,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: World Wide Digital,9148207744413654647,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can create a Sales Order,9148585616013660266,sysadm,2017-08-17 04:34:08,NULL,sysadm,2019-05-15 12:23:49,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can set the Expiration Date,9148585616013660283,sysadm,2017-08-17 04:35:12,NULL,sysadm,2019-05-15 12:44:45,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can change ownership,9148585616013660304,sysadm,2017-08-17 04:36:20,NULL,sysadm,2019-05-15 13:06:18,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can override the price,9148585616013660322,sysadm,2017-08-17 04:37:13,NULL,sysadm,2019-05-15 12:18:47,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can override the Early Termination Fee,9148585616013660325,sysadm,2017-08-17 04:37:20,NULL,sysadm,2019-05-15 12:19:28,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can view Sales Orders,9148585985213660338,sysadm,2017-08-17 04:37:50,NULL,sysadm,2019-05-15 12:31:56,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Contracts - Attach Document,9149113520913747324,sysadm,2017-10-17 06:29:46,NULL,sysadm,2017-10-17 06:29:46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Accounts - 1,9149139800013755506,sysadm,2017-10-20 07:03:31,NULL,sysadm,2017-10-20 07:03:31,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Accounts - 2,9149139800013755509,sysadm,2017-10-20 07:03:43,NULL,sysadm,2017-10-20 07:03:43,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Activity Management - Operate 2,9149139800013755518,sysadm,2017-10-20 07:04:25,NULL,sysadm,2017-10-20 07:04:25,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Address Management - 1,9149139800013755521,sysadm,2017-10-20 07:04:35,NULL,sysadm,2017-10-20 07:04:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Address Management - 2,9149139800013755524,sysadm,2017-10-20 07:04:43,NULL,sysadm,2017-10-20 07:04:43,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Info Search Limited,9149139800013755533,sysadm,2017-10-20 07:05:10,NULL,sysadm,2017-10-20 07:05:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
MyJBSS Action History,9149139800013755536,sysadm,2017-10-20 07:05:17,NULL,sysadm,2017-10-20 07:05:17,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Invoices Generation - Without Copy Request Management,9149180123213694055,sysadm,2017-10-25 04:57:17,NULL,sysadm,2017-10-25 04:57:17,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
HMS Read-Only Access,9149605295113726315,sysadm,2017-12-13 04:38:46,NULL,sysadm,2017-12-13 05:13:45,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Order Reports,9149664140013680495,sysadm,2017-12-20 07:17:55,NULL,sysadm,2017-12-20 07:17:55,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Return Receiving Task Search,9149682587113686244,sysadm,2017-12-22 03:41:42,NULL,sysadm,2017-12-22 03:41:42,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Port and Network Element Search,9149682587113686248,sysadm,2017-12-22 03:42:27,NULL,sysadm,2017-12-22 03:42:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CIM Search,9149682587113686260,sysadm,2017-12-22 03:44:08,NULL,sysadm,2017-12-22 03:44:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Address Search,9149682587113686264,sysadm,2017-12-22 03:44:36,NULL,sysadm,2017-12-22 03:44:36,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
"Modify the ""911"" characteristic",9149978268413682807,sysadm,2018-01-25 09:19:47,NULL,sysadm,2018-01-25 09:20:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Adjustments Approval - Approve Task,9149992285513705256,sysadm,2018-01-27 03:22:04,NULL,sysadm,2018-01-27 03:22:04,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Address Management - 5,9150157388013753365,sysadm,2018-02-15 06:09:51,NULL,sysadm,2018-02-15 06:09:51,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Stock Items Management - Operate 1,9150720200513944059,sysadm,2018-04-21 06:41:26,NULL,sysadm,2018-04-21 06:41:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
ODT Designer,9152087898013962769,sysadm,2018-09-26 12:19:15,NULL,sysadm,2018-09-26 12:19:47,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
ODT OE Admin,9152087898013962780,sysadm,2018-09-26 12:20:14,NULL,sysadm,2018-09-27 09:19:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SCM External Users,9152823731813945370,sysadm,2018-12-20 17:36:07,NULL,sysadm,2018-12-20 17:36:07,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OTRK Users,9153555560613878900,sysadm,2019-03-15 09:15:27,NULL,sysadm,2019-03-15 09:18:44,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Contractor Warehouse 2,9153657000213223549,vash0217,2019-03-27 02:59:20,NULL,vash0217,2019-03-27 02:59:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Notification_Role_3,9153779024513227636,sysadm,2019-04-10 05:44:49,NULL,sysadm,2019-06-14 12:14:58,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Modify sensitive RCA data,9153978758013311083,sysadm,2019-05-03 08:34:00,NULL,sysadm,2019-05-28 17:07:39,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Business Customer Account,9153978758013311097,sysadm,2019-05-03 08:36:18,NULL,sysadm,2019-05-28 17:07:39,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Override Customer Location duplicate check,9153978758013311133,sysadm,2019-05-03 08:40:43,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Individual,9153978758013311137,sysadm,2019-05-03 08:41:03,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BCA Standalone Search,9153978758013311177,sysadm,2019-05-03 08:45:00,NULL,sysadm,2019-05-28 17:07:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
RCA Standalone Search,9153978830013311183,sysadm,2019-05-03 08:45:18,NULL,sysadm,2019-05-28 17:07:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Credit Check History,9153978830013311193,sysadm,2019-05-03 08:46:17,NULL,sysadm,2019-05-30 13:03:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Update Activity,9153978830013311207,sysadm,2019-05-03 08:48:15,NULL,sysadm,2019-05-28 17:07:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
System Customizable List Configuration,9153978830013311219,sysadm,2019-05-03 08:49:11,NULL,sysadm,2019-05-28 17:07:39,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
User Customizable List Configuration,9153978830013311222,sysadm,2019-05-03 08:49:24,NULL,sysadm,2019-05-28 17:07:39,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
appNC_Field_Technician,9153978830013311274,sysadm,2019-05-03 08:55:11,NULL,sysadm,2019-12-04 14:30:48,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
