group_value,group_id,created_by_value,created_when,email,modified_by_value,modified_when,extraction_timestamp,date,history_date
Access to Assignment Tool,9154187553013311365,sysadm,2019-05-27 12:35:22,NULL,sysadm,2019-05-27 12:35:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Search Work Order,9154187553013311371,sysadm,2019-05-27 12:35:57,NULL,sysadm,2019-05-27 12:35:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Access to Technicians Dashboard,9154187553013311382,sysadm,2019-05-27 12:37:14,NULL,sysadm,2019-05-27 12:37:14,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Work With Customer Modification,9154189166013293275,sysadm,2019-05-27 17:06:35,NULL,sysadm,2019-05-27 17:06:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sign Customer Modification Verbal,9154189166013293282,sysadm,2019-05-27 17:07:15,NULL,sysadm,2019-05-27 17:07:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Residential Customer Account,9154195610013293045,sysadm,2019-05-28 11:27:35,NULL,sysadm,2019-05-28 11:28:14,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View own Organization,9154215242013338620,security_mp,2019-05-30 17:47:18,NULL,sysadm,2019-05-30 18:41:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF Users,9154264912513290630,sysadm,2019-06-05 11:27:08,NULL,sysadm,2019-06-05 11:27:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View User Parameters,9154505693313293222,sysadm,2019-07-03 08:20:48,NULL,sysadm,2019-07-03 08:20:48,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Search for User Account,9154505693313293238,sysadm,2019-07-03 08:21:54,NULL,sysadm,2019-07-03 08:21:54,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
WFM Supervisor,9154567784013333208,sysadm,2019-07-10 12:44:18,NULL,sysadm,2019-07-19 17:27:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Warehouse with standard SIM cards,9154800278013547326,sysadm,2019-08-06 10:37:55,NULL,sysadm,2019-08-06 10:38:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
appNC_Wholesale_Fixed_Internet_and_VTV_Leader_Dispatcher,9154948988913277274,sysadm,2019-08-23 15:42:32,NULL,sysadm,2019-12-04 14:37:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
WFM Desktop User,9155596313913181622,sysadm,2019-11-06 14:06:27,NULL,DIKR,2019-11-07 11:14:48,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Personal Data Viewer,9155769798713341826,sysadm,2019-11-26 15:39:32,NULL,sysadm,2019-12-05 11:09:30,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sales Executive,3060923132013761417,NULL,NULL,NULL,sysadm,2017-05-27 06:05:04,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Field Operations,3061033244013763510,NULL,NULL,NULL,sysadm,2017-05-27 06:01:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Calculable attribute index configuration view,8012550816013963238,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Search from menu,8091641063013078425,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Business Activity Monitoring Roles,8111962582013915357,NULL,NULL,NULL,sysadm,2017-05-27 05:51:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Voice Test Group,9130663430013016308,Administrator,2011-12-12 19:46:31,NULL,sysadm,2011-12-29 13:37:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Work Force Management roles,9132934422213157222,Administrator,2012-08-31 16:15:27,NULL,sysadm,2017-06-17 09:08:12,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
WFM Employee Calendar Management user,9132934422213157224,Administrator,2012-08-31 16:15:49,NULL,Administrator,2012-08-31 16:15:49,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
WFM Technician,9132934422213157226,Administrator,2012-08-31 16:16:10,NULL,Administrator,2012-08-31 16:16:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BAC settings editor,9133582309313103208,sysadm,2009-11-25 12:03:00,NULL,sysadm,2009-11-29 18:33:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sales Users Roles,9134411171413207320,NULL,NULL,NULL,sysadm,2017-05-27 05:59:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Dynamically Assigned Roles,9135518779413862623,NULL,NULL,NULL,sysadm,2017-05-27 06:01:33,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Duplicate Proposal,9136557870213920331,sysadm,2013-10-25 01:20:30,NULL,sysadm,2013-10-25 01:20:30,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Only Opportunity Parameter Team,9136607192813931723,sysadm,2013-10-30 18:36:11,NULL,sysadm,2013-10-30 23:31:54,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Only Opportunity Parameter Owner,9136609029213932227,sysadm,2013-10-30 23:32:57,NULL,sysadm,2013-10-30 23:32:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Security Matrix,9136728066813008810,sysadm,2013-11-13 19:40:34,NULL,sysadm,2013-11-25 17:49:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Lead Security Matrix,9136844300113043040,sysadm,2013-11-27 04:55:40,NULL,sysadm,2013-11-27 04:58:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Modify Lead Parameters,9136844300113043042,sysadm,2013-11-27 04:58:57,NULL,sysadm,2013-11-27 04:58:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Reconciliation Administrators,9136865389913507140,Administrator,2013-11-29 16:11:23,NULL,Administrator,2013-12-02 13:53:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Partner Management Users,9137332490013315848,NULL,NULL,NULL,sysadm,2017-05-27 06:03:33,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Distributor Sales Agents,9138014876613676211,NULL,NULL,NULL,sysadm,2017-05-27 06:01:24,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Reseller Sales Agents,9138014876613676212,NULL,NULL,NULL,sysadm,2017-05-27 06:04:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Product Lifecycle Management Roles,9142809163313589028,NULL,NULL,NULL,sysadm,2017-05-27 06:03:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CSR User,9145082379913675853,NULL,NULL,NULL,sysadm,2017-05-27 05:55:43,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Resource Coordinator Manager,9147376560213858119,sysadm,2017-03-30 06:21:34,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Collections Manager,9147376560213858128,sysadm,2017-03-30 06:22:22,NULL,sysadm,2018-03-01 03:56:51,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CSD OM (OM Specialist),9147377015513858134,sysadm,2017-03-30 06:22:46,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
RI Provisioning Team,9147377015513858201,sysadm,2017-03-30 06:30:22,NULL,sysadm,2017-11-09 03:05:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Accounts - Manage,9147377069913858291,sysadm,2017-03-30 07:13:12,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Attachment Management - Full Access,9147377330013858353,sysadm,2017-03-30 07:16:04,NULL,sysadm,2017-03-30 07:22:53,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Address Management - View,9147377330013858371,sysadm,2017-03-30 07:16:46,NULL,sysadm,2017-03-30 07:19:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Contract Template Versions - Full Access,9147439010013881740,sysadm,2017-04-06 10:35:32,NULL,sysadm,2017-04-06 10:35:32,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Contract Items - View,9147439010013881751,sysadm,2017-04-06 10:35:55,NULL,sysadm,2017-04-06 10:35:55,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Billing Account - 2,9147550106113889583,sysadm,2017-04-19 07:51:10,NULL,sysadm,2017-04-19 07:51:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Billing Account - 3,9147550106113889586,sysadm,2017-04-19 07:51:16,NULL,sysadm,2017-04-19 07:51:16,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Payment Management - 1,9147550474613889674,sysadm,2017-04-19 08:17:20,NULL,sysadm,2017-04-19 08:17:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Adjustments Management - View,9147550474613889700,sysadm,2017-04-19 08:18:22,NULL,sysadm,2017-04-19 08:18:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
One-Time Services - View,9147550474613889724,sysadm,2017-04-19 08:19:26,NULL,sysadm,2017-04-19 08:19:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Approval User Role II,9147601941713912382,sysadm,2017-04-25 07:53:08,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AM - All Searches,9147609425213933202,sysadm,2017-04-26 05:02:05,NULL,sysadm,2017-04-26 05:02:05,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AM - Process Orchestrator Tasks - 1,9147609425213933211,sysadm,2017-04-26 05:02:29,NULL,sysadm,2017-04-26 05:02:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Handbooks Management - Full Access,9147609425213933222,sysadm,2017-04-26 05:03:05,NULL,sysadm,2017-04-26 05:03:05,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Stock Items Management - Full Access,9147609820413933231,sysadm,2017-04-26 05:03:24,NULL,sysadm,2017-04-26 05:03:24,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Stock Items Management - Operate 2,9147609820413933234,sysadm,2017-04-26 05:03:31,NULL,sysadm,2017-04-26 05:03:31,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Stock Items Management - View,9147609820413933237,sysadm,2017-04-26 05:03:39,NULL,sysadm,2017-04-26 05:03:39,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse Management -  Full Access,9147609820413933240,sysadm,2017-04-26 05:03:47,NULL,sysadm,2017-04-26 05:03:47,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse Manager Dashboard,9147609820413933246,sysadm,2017-04-26 05:04:00,NULL,sysadm,2017-04-26 05:04:00,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OM,9147609820413933254,sysadm,2017-04-26 05:11:28,NULL,sysadm,2017-04-26 05:12:06,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
PIM RO access,9147609820413933278,sysadm,2017-04-26 05:13:02,NULL,sysadm,2017-04-26 05:13:02,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Network Elements - View,9147610250013933395,sysadm,2017-04-26 06:41:51,NULL,sysadm,2017-04-26 06:41:51,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Templates - View,9147610250013933421,sysadm,2017-04-26 06:43:04,NULL,sysadm,2017-04-26 06:43:04,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Operations menu - Full Access,9147610490013933447,sysadm,2017-04-26 06:56:49,NULL,sysadm,2017-04-26 06:56:49,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OOB Roles,9147877834513951098,sysadm,2017-05-27 05:45:51,NULL,sysadm,2017-05-27 06:05:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Groups,9148059670213671820,sysadm,2017-06-17 06:54:46,NULL,sysadm,2017-10-13 04:16:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Aging Report,9148153581813666549,sysadm,2017-06-28 03:33:58,NULL,sysadm,2017-06-28 03:33:58,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Account Service Change Report,9148153581813666554,sysadm,2017-06-28 03:34:07,NULL,sysadm,2017-06-28 03:34:07,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Journal Detail Report,9148153581813666593,sysadm,2017-06-28 03:35:34,NULL,sysadm,2017-06-28 03:35:34,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Lifeline Audit/Exceptions Report,9148153581813666599,sysadm,2017-06-28 03:35:48,NULL,sysadm,2017-06-28 03:35:48,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Refund Report,9148153581813666627,sysadm,2017-06-28 03:36:54,NULL,sysadm,2017-06-28 03:36:54,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Mail Fulfillment,9148206643213654129,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: AK Housewares,9148206643213654131,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: BeQuick,9148206643213654135,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Cycle30,9148206643213654140,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: ETERNITY WIRELESS,9148206643213654143,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Hyundai Mobile,9148206643213654145,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Kenan,9148206643213654146,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can upgrade,9148585616013660295,sysadm,2017-08-17 04:35:55,NULL,sysadm,2019-05-15 12:47:54,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can suspend,9148585616013660298,sysadm,2017-08-17 04:36:02,NULL,sysadm,2019-05-15 12:49:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can resume,9148585616013660301,sysadm,2017-08-17 04:36:09,NULL,sysadm,2019-05-15 11:56:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Move an immediate charge to the next bill,9148585985213660332,sysadm,2017-08-17 04:37:35,NULL,sysadm,2017-08-17 06:06:07,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CIM Notifications Preferences - View,9149139800013755539,sysadm,2017-10-20 07:05:28,NULL,sysadm,2017-10-20 07:05:28,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Adjustments Management - Without Debit Adjustment,9149182642413694807,sysadm,2017-10-25 07:46:20,NULL,sysadm,2017-10-25 07:46:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Disputes Management - Notification,9149182642413694820,sysadm,2017-10-25 07:48:38,NULL,sysadm,2017-10-25 07:48:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Payment Management - 4,9149182642413694828,sysadm,2017-10-25 07:49:35,NULL,sysadm,2017-10-25 07:49:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Payment Management - 5,9149182642413694832,sysadm,2017-10-25 07:50:03,NULL,sysadm,2017-10-25 07:50:03,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Deposits Management - Without Account Balance Deposit,9149182642413694836,sysadm,2017-10-25 07:50:40,NULL,sysadm,2017-10-25 07:50:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Adjustments Approval - Full Access,9149535762013710830,sysadm,2017-12-05 03:50:57,NULL,sysadm,2017-12-05 03:51:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OM Operations - 4,9150451762413942268,sysadm,2018-03-21 03:45:19,NULL,sysadm,2018-03-21 03:45:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OM Operations - CSR Access,9150556040813937441,sysadm,2018-04-02 06:48:30,NULL,sysadm,2018-04-02 06:48:30,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Hunt Group Search,9150727760013944355,sysadm,2018-04-22 10:36:56,NULL,sysadm,2018-04-22 10:36:56,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AM - Process Orchestrator Tasks - 2,9150980120313956338,sysadm,2018-05-21 11:00:22,NULL,sysadm,2018-05-21 11:00:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OTRK,9153555561513878900,sysadm,2019-03-15 09:14:28,NULL,sysadm,2019-03-15 09:15:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OTRK Administrators,9153555565513878900,sysadm,2019-03-15 09:14:59,NULL,sysadm,2019-03-15 09:17:34,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Contractor Warehouse 3,9153657000213223554,vash0217,2019-03-27 02:59:34,NULL,vash0217,2019-03-27 02:59:34,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Contractor Warehouse 4,9153657000213223559,vash0217,2019-03-27 02:59:50,NULL,vash0217,2019-03-27 02:59:50,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF Partner Users,9153701137813216311,sysadm,2019-04-01 05:44:31,NULL,sysadm,2019-04-01 07:30:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Approval_Role_2,9153778886013227620,sysadm,2019-04-10 05:44:05,NULL,sysadm,2019-06-14 12:12:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Approval_Role_3,9153779024513227624,sysadm,2019-04-10 05:44:13,NULL,sysadm,2019-06-14 12:13:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Approval_Role_4,9153779024513227627,sysadm,2019-04-10 05:44:20,NULL,sysadm,2019-06-14 12:13:44,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Delete Attachment,9153978758013311120,sysadm,2019-05-03 08:39:18,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Delete Note,9153978758013311123,sysadm,2019-05-03 08:39:38,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Delete Customer Location,9153978758013311130,sysadm,2019-05-03 08:40:18,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Delete Credit Check Record,9153978830013311196,sysadm,2019-05-03 08:46:29,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Shop Agent,9153978830013311232,sysadm,2019-05-03 08:51:51,NULL,sysadm,2019-06-25 15:35:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Incubation Team Agent,9153978830013311243,sysadm,2019-05-03 08:53:19,NULL,sysadm,2019-06-25 15:35:36,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Administrator,9153978830013311251,sysadm,2019-05-03 08:53:49,NULL,sysadm,2019-06-27 16:49:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Logistics Manager,9153978830013311255,sysadm,2019-05-03 08:54:01,NULL,sysadm,2019-06-14 08:10:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Payments,9154067270013284149,sysadm,2019-05-13 14:47:19,NULL,sysadm,2019-05-13 14:48:31,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Balance Transfer,9154067406913284240,sysadm,2019-05-13 15:17:17,NULL,sysadm,2019-05-13 15:17:56,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Edit Address Unit Name,9154068752013314249,sysadm,2019-05-13 18:34:25,NULL,sysadm,2019-05-13 18:40:13,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Delete Address Unit,9154068752013314252,sysadm,2019-05-13 18:34:56,NULL,sysadm,2019-05-13 18:40:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Edit Address Unit Parameters,9154068752013314262,sysadm,2019-05-13 18:35:41,NULL,sysadm,2019-05-13 18:35:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
My Tasks Widget,9154074664913282707,sysadm,2019-05-14 11:24:15,NULL,sysadm,2019-05-14 17:42:16,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Internal SLA Notifications Templates,9154074832013282736,sysadm,2019-05-14 11:26:20,NULL,sysadm,2019-05-16 10:40:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sign Contract/AA Document Written,9154082180813317918,sysadm,2019-05-15 07:54:52,NULL,sysadm,2019-06-24 14:57:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sign Contract/AA Document E-signature,9154082180813317937,sysadm,2019-05-15 07:56:41,NULL,sysadm,2019-06-24 14:57:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Terminate Contract/AAt/Contract Item,9154082180813317987,sysadm,2019-05-15 08:02:11,NULL,sysadm,2019-06-25 06:16:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF OE,9154082240013285927,sysadm,2019-05-15 08:18:59,NULL,sysadm,2019-05-15 08:18:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Model,9154084218113358586,sysadm,2019-05-15 13:53:29,NULL,sysadm,2019-05-15 13:53:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Change Current Warehouse,9154084370013358686,sysadm,2019-05-15 14:23:44,NULL,sysadm,2019-05-15 14:23:44,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Move Order [Physical Verification],9154084556913358732,sysadm,2019-05-15 14:28:20,NULL,sysadm,2019-05-15 14:28:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Close Move Order [Physical Verification] Manually,9154084556913358763,sysadm,2019-05-15 14:30:13,NULL,sysadm,2019-05-15 14:30:13,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Reports,9154084556913358784,sysadm,2019-05-15 14:31:33,NULL,sysadm,2019-05-15 14:31:33,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View all Asset Management Tasks assigned to other Asset Management Users,9154084556913358790,sysadm,2019-05-15 14:31:57,NULL,sysadm,2019-05-15 14:31:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CSR Desktop,9154090880013322121,sysadm,2019-05-16 08:06:08,NULL,sysadm,2019-05-16 08:06:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Worklog for CIT,9154091660013322486,sysadm,2019-05-16 10:43:31,NULL,sysadm,2019-05-16 10:49:32,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Update CCT,9154091865113322506,sysadm,2019-05-16 10:44:41,NULL,sysadm,2019-05-16 11:07:28,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Tasks,9154091865113322553,sysadm,2019-05-16 10:46:35,NULL,sysadm,2019-05-16 13:44:13,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Work with Task,9154091865113322556,sysadm,2019-05-16 10:46:43,NULL,sysadm,2019-05-16 13:44:23,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF Generic,9154161524013290817,sysadm,2019-05-24 12:15:41,NULL,sysadm,2019-05-24 12:18:30,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Modify/Delete Skill Sets,9154187482513311214,sysadm,2019-05-27 12:26:22,NULL,sysadm,2019-05-27 12:26:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Modify/Delete Serving Area,9154187482513311217,sysadm,2019-05-27 12:26:41,NULL,sysadm,2019-05-27 12:26:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Modify/Delete Employee Working Status,9154187482513311224,sysadm,2019-05-27 12:27:44,NULL,sysadm,2019-05-27 12:27:44,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
WFM Scheduling Configurations,9154187482513311228,sysadm,2019-05-27 12:28:04,NULL,sysadm,2019-05-27 12:28:55,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Work Orders assigned to own Organization,9154187534013311260,sysadm,2019-05-27 12:30:28,NULL,sysadm,2019-05-27 12:30:28,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Modify Manual Work Order Templates,9154187534013311316,sysadm,2019-05-27 12:31:27,NULL,sysadm,2019-05-27 12:31:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Delete/Modify Work Activity,9154187553013311346,sysadm,2019-05-27 12:33:35,NULL,sysadm,2019-05-27 12:33:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Reschedule Work Order - change Date/Time,9154187553013311351,sysadm,2019-05-27 12:33:54,NULL,sysadm,2019-05-27 12:33:54,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Access Appontment Resevation tool,9154187553013311375,sysadm,2019-05-27 12:36:19,NULL,sysadm,2019-05-27 12:36:19,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Access to Dipatchers Dashboard,9154187553013311378,sysadm,2019-05-27 12:36:46,NULL,sysadm,2019-05-27 12:36:46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Todays Work Orders,9154187553013311389,sysadm,2019-05-27 12:38:26,NULL,sysadm,2019-05-27 12:38:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Todays Work Items,9154187553013311398,sysadm,2019-05-27 12:39:03,NULL,sysadm,2019-05-27 12:39:03,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Perform Dispute Approval Task,9154195277513285324,sysadm,2019-05-28 10:25:20,NULL,sysadm,2019-05-28 10:25:21,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Perform Rejection Task,9154195433513285332,sysadm,2019-05-28 10:25:57,NULL,sysadm,2019-05-28 10:25:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Contracts/AA,9154203656413294484,sysadm,2019-05-29 09:21:18,NULL,sysadm,2019-05-29 10:47:42,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Work with Contract/AA in BSS UI,9154203656413294487,sysadm,2019-05-29 09:21:55,NULL,sysadm,2019-05-29 11:04:12,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View not own Organization,9154215242013338624,security_mp,2019-05-30 17:48:23,NULL,sysadm,2019-05-30 18:41:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF D2D Agents,9154265932213291071,sysadm,2019-06-05 14:20:26,NULL,sysadm,2019-06-05 14:20:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
