contact_method_id,contact_type_method_id,is_preferred_flag,email_type_id,email_type_value,mobile_type_id,mobile_type_value,contact_days,contact_hours,phone_type_id,phone_type_value,social_profile_type_id,social_profile_type_value,method_end_date,extraction_timestamp,date,history_date
9158602881513910581,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602897313911070,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602898013911192,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602930213911651,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602931813912099,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602934113911757,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602936513911527,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602944913912326,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602945013912759,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602948013912970,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602949813912659,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605167213979814,9147359779513855381,No,NULL,NULL,9135207080013612944,Mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602859513908700,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602864813909491,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602867113909243,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602867113909359,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602870113910191,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602871713909985,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602873213909969,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602874213909969,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602877013909843,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602879013910191,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602880813910481,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602889713910237,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602889713910481,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602890813910609,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602896013910941,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602897013911070,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602932813912099,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602934113911651,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602935113911651,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602935113911757,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602938813911427,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602940413912542,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602942713912113,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602942913912326,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602944113912542,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946513912970,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946913912219,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
