ownership_id,ownership_value,attr_type_def_id
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
9153842654013300822,Tenant,9153842654013300821
9153842654013300823,Owner,9153842654013300821
