area_name,area_id,first_number,last_number,own_first_number,own_last_number,extraction_timestamp,date,history_date
786,9158144479313279153,786,786,786,786,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754,9156806933813867300,754,754,754,754,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
