direction_id,direction_value,attr_type_def_id
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
9135705927713621257,Incoming,9135705927713621256
9135705927713621259,Outgoing,9135705927713621256
