billing_indicator_id,billing_indicator_value,attr_type_def_id
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
9150866431113232940,Exclude,9150866431113232939
9150866431113232941,Ready for Billing,9150866431113232939
9150866431113232942,Include,9150866431113232939
