distribution_chanel_id,distribution_chanel_value
9153174608013223993,Retention
9153174608013224000,Direct Shop
9153174608013224016,Telesales
9153174608013224026,Indirect Shops
9153224737013220396,D2D
9153649400013202269,Front Office
9153649400013202277,Back Office
9153649400013202291,MUK
9154549088613556900,Pre-Activation
9142905964913606451,All
