threshold_direction_id,threshold_direction_value,attr_type_def_id
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
9135405740513495288,Upwards,9135405740513495281
9135405740513495289,Downwards,9135405740513495281
