escalation_status_id,escalation_status_value,attr_type_def_id
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
7060641648013030743,6#FFFFFF$ Not Escalated,7060641648013030742
7060641648013030744,6#FF0000$ Escalated,7060641648013030742
