range_id,range_name,parent_area_id,first_number,last_number,own_first_number,own_last_number,extraction_timestamp,date,history_date
9158144470413279153,786 000 000 - 99 999,9158144479313279153,7860,7860,0,0,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156806934813867300,754 100 000 - 99 999,9156806933813867300,7541,7541,1,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
