type_id,type_value,attr_type_def_id
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
9153892893913374754,Primary,9153892893913374752
9153892893913374755,Alternative,9153892893913374752
