language_id,language_value,attr_type_def_id
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
9134711889213139789,English,9134308937713187964
