utilization_id,utilization_value,attr_type_def_id
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
6082959395013265104,Do nothing,6082959364013265103
6082959404013265105,Delete,6082959364013265103
6082959412013265106,Move to,6082959364013265103
