tax_status_id,tax_status_value,attr_type_def_id
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
9135457120213517224,Tax Exclusive,9135457120213517223
9135457120213517226,Tax Inclusive,9135457120213517223
