ticket_element_id,ticket_element_value,extraction_timestamp,date,history_date
9156262119413830620,Installation,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9152440000213769409,Sample Element,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261020713829700,Rented CPE doesn't work,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261200813829700,Low Upload speed,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261208713829700,Low Download speed,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261266613830021,Owned STB doesn't work,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261280513830124,Clipping,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261280613830124,Intermittent Noise,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261284513830124,Cross Talk,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261289413830124,Clicking,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261350813830160,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261359713830160,Call Waiting Problem,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261599613830360,Low Download speed,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261697713830318,Long Distance Call,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261731013830416,Cross Talk,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261751713830426,Wrong penalty,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261752613830426,Wrong service included,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261752713830426,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261771313830579,Cannot Call Long Distance,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261773113830579,Cannot Call Out,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261910313830640,Fiber. Outdoor,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261917213830640,Fiber. Indoor,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262077313830696,Online Shop,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262115713830620,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262116513830620,Configuration,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261206713829700,Owned CPE doesn't work,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261260613830021,Rented STB doesn't work,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261283413830124,Cannot Call Overseas,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261283613830124,Cannot Be Heard,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261284413830124,Cannot Raise,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261285413830124,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261286213830124,Cannot Call 900,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261355713830160,Internal Call,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261357713830160,Call Transfer Problem,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261592713830360,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261731913830316,Clipping,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261735913830316,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261755613830426,Wrong service deleted,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261757813830426,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261771113830579,Access Busy,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261775213830579,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261912313830640,Copper. Indoor,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262110813830620,Information request,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262113613830620,Replacement,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262115413830620,Copper. Outdoor,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262117613830620,Windows,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
