rating_id,rating_value,attr_type_def_id
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
9146755045913799321,Excellent,7042837826013175650
9146755045913799322,Good,7042837826013175650
9146755045913799323,Normal,7042837826013175650
9146755045913799324,Fair,7042837826013175650
9146755045913799325,Poor,7042837826013175650
9146755045913799326,N/A,7042837826013175650
