status_id,status_value,attr_type_def_id
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
7042837826013175657,Good,7042837826013175656
7042837826013175658,Bad,7042837826013175656
